Company,Company Path,Country,Industry,Earnings,Employees,Marketcap,Net-Assets,Operating-Margin,Pe-Ratio,Ps-Ratio,Revenue,Total-Assets,Total-Debt,Total-Liabilities
Cathay Financial Holding,https://companiesmarketcap.com/cathay-financial-holding,Taiwan,Insurance,1840000000,56031,22280000000,26120000000,0.059,41.6,2.58,8780000000,4.1754E+11,9300000000,3.9142E+11
Progressive,https://companiesmarketcap.com/progressive,USA,Insurance,5170000000,55100,1.1942E+11,20270000000,0.0431,43.8,1.91,62080000000,88690000000,6880000000,68410000000
Allstate,https://companiesmarketcap.com/allstate,USA,Insurance,31000000,54000,43990000000,17630000000,-0.0575,-20.9,0.7651,57090000000,1.0336E+11,7940000000,85730000000
Aon,https://companiesmarketcap.com/aon,UK,Insurance,3650000000,50000,61070000000,-750000000,0.2529,23.5,4.61,13370000000,33950000000,12030000000,34700000000
Sompo Holdings,https://companiesmarketcap.com/sompo-holdings,Japan,Insurance,3480000000,48956,20550000000,18300000000,0.0769,5.42,0.6356,32720000000,1.0233E+11,4870000000,84030000000
Fairfax Financial,https://companiesmarketcap.com/fairfax-financial,Canada,Insurance,5900000000,47040,25650000000,27700000000,,5.1,1,25800000000,91980000000,10790000000,64280000000
Arthur J. Gallagher & Co.,https://companiesmarketcap.com/arthur-gallagher,USA,Insurance,1480000000,46758,51200000000,10810000000,0.1551,44.8,5.16,10070000000,51610000000,8310000000,40800000000
Willis Towers Watson,https://companiesmarketcap.com/willis-wowers-watson,UK,Insurance,1510000000,46000,26610000000,9590000000,0.1671,27.4,2.81,9480000000,29090000000,5940000000,19490000000
MetLife,https://companiesmarketcap.com/metlife,USA,Insurance,3200000000,45000,50710000000,30250000000,0.0542,25.8,0.7715,66520000000,6.8758E+11,18820000000,6.5733E+11
Tokio Marine,https://companiesmarketcap.com/tokio-marine,Japan,Insurance,5260000000,43217,61700000000,31460000000,0.0809,22.4,1.28,48080000000,2.1235E+11,1600000000,1.8088E+11
Munich RE (Münchener Rück),https://companiesmarketcap.com/munich-re,Germany,Insurance,6170000000,42562,59560000000,29200000000,0.077,12.8,0.8981,66910000000,2.7966E+11,5030000000,2.5045E+11
Manulife Financial,https://companiesmarketcap.com/manulife-financial,Canada,Insurance,4820000000,40000,42800000000,36800000000,0.1319,11.2,1.37,31580000000,6.6135E+11,9620000000,6.2454E+11
Chubb,https://companiesmarketcap.com/chubb,Switzerland,Insurance,9520000000,40000,99790000000,63690000000,0.1422,14.3,1.99,49820000000,2.3068E+11,14490000000,1.6699E+11
Prudential Financial,https://companiesmarketcap.com/prudential-financial,USA,Insurance,3070000000,39583,39420000000,29780000000,-0.0358,38,0.7339,54520000000,7.2112E+11,20870000000,6.9133E+11
MS&AD Insurance,https://companiesmarketcap.com/ms-ad-insurance,Japan,Insurance,3450000000,38584,28690000000,27750000000,0.0543,6.53,0.6415,44750000000,1.8334E+11,5070000000,1.5558E+11
Powszechny Zakład Ubezpieczeń,https://companiesmarketcap.com/pzu,Poland,Insurance,3490000000,38279,10410000000,13050000000,0.2093,10.2,0.8321,13040000000,1.0671E+11,5610000000,93650000000
KBC,https://companiesmarketcap.com/kbc,Belgium,Insurance,4520000000,35235,30100000000,26820000000,0.4287,8.62,2.58,11680000000,3.8355E+11,28900000000,3.5672E+11
New China Life Insurance,https://companiesmarketcap.com/new-china-life-insurance,China,Insurance,9370000000,32564,9750000000,15120000000,0.2174,6.33,0.986,10230000000,1.9045E+11,1520000000,1.7533E+11
HDFC Life,https://companiesmarketcap.com/hdfc-life,India,Insurance,160000000,32448,15920000000,1700000000,0.0177,92.1,1.46,11000000000,34630000000,110000000,32930000000
Mapfre,https://companiesmarketcap.com/mapfre,Spain,Insurance,1550000000,31293,7380000000,10670000000,0.0686,11.1,0.3306,22670000000,60740000000,3030000000,50070000000
