document,element,value,frequency_in_document
1996,Interpersonal_violence,432673,7.43E-05
1996,Lower_respiratory_infections,3091233,0.000530694
1996,Malaria,872476,0.000149784
1996,Maternal_disorders,287746,4.94E-05
1996,Meningitis,417259,7.16E-05
1996,Neonatal_disorders,2841042,0.000487742
1996,Neoplasms,6490603,0.001114287
1996,Nutritional_deficiencies,671977,0.000115363
1996,Parkinson_s_disease,173822,2.98E-05
1996,Poisonings,88861,1.53E-05
1996,Protein_energy_malnutrition,593826,0.000101946
1996,Road_injuries_,1162809,0.000199628
1996,Self_harm,820128,0.000140797
1996,Tuberculosis,1720903,0.000295439
1997,Acute_hepatitis,151902,2.57E-05
1997,Alcohol_use_disorders,155429,2.63E-05
1997,Alzheimer_s_disease_and_other_dementias,717342,0.000121479
1997,Cardiovascular_diseases,13339902,0.002259068
1997,Chronic_kidney_disease,731048,0.000123801
1997,Chronic_respiratory_diseases,3381872,0.000572709
1997,Cirrhosis_and_other_chronic_liver_diseases,1128962,0.000191186
1997,Conflict_and_terrorism,99263,1.68E-05
1997,Diabetes_mellitus,827734,0.000140174
1997,Diarrheal_diseases,2579027,0.00043675
1997,Digestive_diseases,2014659,0.000341176
1997,Drowning,413405,7.00E-05
1997,Drug_use_disorders,82572,1.40E-05
1997,Environmental_heat_and_cold_exposure,63823,1.08E-05
1997,Exposure_to_forces_of_nature,17852,3.02E-06
1997,Fire__heat__and_hot_substances,126274,2.14E-05
1997,HIV_AIDS,1174154,0.000198839
1997,Interpersonal_violence,427316,7.24E-05
1997,Lower_respiratory_infections,3047670,0.000516113
1997,Malaria,892946,0.000151217
1997,Maternal_disorders,289467,4.90E-05
1997,Meningitis,400893,6.79E-05
1997,Neonatal_disorders,2817527,0.000477139
1997,Neoplasms,6586074,0.00111533
1997,Nutritional_deficiencies,647682,0.000109683
1997,Parkinson_s_disease,179347,3.04E-05
1997,Poisonings,87371,1.48E-05
1997,Protein_energy_malnutrition,572372,9.69E-05
1997,Road_injuries_,1169798,0.000198101
1997,Self_harm,822649,0.000139313
1997,Tuberculosis,1726038,0.000292299
1998,Acute_hepatitis,149563,2.50E-05
1998,Alcohol_use_disorders,156282,2.61E-05
1998,Alzheimer_s_disease_and_other_dementias,738768,0.000123441
1998,Cardiovascular_diseases,13461489,0.002249282
1998,Chronic_kidney_disease,758681,0.000126768
1998,Chronic_respiratory_diseases,3401426,0.000568345
1998,Cirrhosis_and_other_chronic_liver_diseases,1141509,0.000190735
1998,Conflict_and_terrorism,108842,1.82E-05
1998,Diabetes_mellitus,854415,0.000142764
1998,Diarrheal_diseases,2544585,0.000425175
1998,Digestive_diseases,2030600,0.000339293
1998,Drowning,407205,6.80E-05
1998,Drug_use_disorders,85087,1.42E-05
1998,Environmental_heat_and_cold_exposure,64858,1.08E-05
1998,Exposure_to_forces_of_nature,48134,8.04E-06
1998,Fire__heat__and_hot_substances,124746,2.08E-05
1998,HIV_AIDS,1303651,0.000217827
1998,Interpersonal_violence,431984,7.22E-05
1998,Lower_respiratory_infections,2999755,0.000501229
1998,Malaria,901338,0.000150605
1998,Maternal_disorders,289304,4.83E-05
1998,Meningitis,393364,6.57E-05
1998,Neonatal_disorders,2793540,0.000466773
1998,Neoplasms,6703169,0.001120033
1998,Nutritional_deficiencies,620498,0.000103679
1998,Parkinson_s_disease,185097,3.09E-05
1998,Poisonings,86679,1.45E-05
1998,Protein_energy_malnutrition,549543,9.18E-05
1998,Road_injuries_,1177827,0.000196803
1998,Self_harm,829842,0.000138658
1998,Tuberculosis,1724307,0.000288115
1999,Acute_hepatitis,147017,2.42E-05
1999,Alcohol_use_disorders,160606,2.65E-05
1999,Alzheimer_s_disease_and_other_dementias,761620,0.000125592
1999,Cardiovascular_diseases,13720763,0.00226257
1999,Chronic_kidney_disease,785380,0.00012951
1999,Chronic_respiratory_diseases,3419612,0.000563898
1999,Cirrhosis_and_other_chronic_liver_diseases,1158552,0.000191047
1999,Conflict_and_terrorism,141860,2.34E-05
1999,Diabetes_mellitus,879521,0.000145034
1999,Diarrheal_diseases,2496957,0.000411751
1999,Digestive_diseases,2054201,0.00033874
1999,Drowning,397169,6.55E-05
1999,Drug_use_disorders,87336,1.44E-05
1999,Environmental_heat_and_cold_exposure,63375,1.05E-05
1999,Exposure_to_forces_of_nature,69591,1.15E-05
1999,Fire__heat__and_hot_substances,125921,2.08E-05
1999,HIV_AIDS,1439777,0.000237421
1999,Interpersonal_violence,440642,7.27E-05
1999,Lower_respiratory_infections,2950639,0.000486564
1999,Malaria,893788,0.000147387
1999,Maternal_disorders,288836,4.76E-05
1999,Meningitis,390136,6.43E-05
1999,Neonatal_disorders,2766241,0.000456156
1999,Neoplasms,6857548,0.001130818
1999,Nutritional_deficiencies,593417,9.79E-05
1999,Parkinson_s_disease,191538,3.16E-05
1999,Poisonings,87333,1.44E-05
1999,Protein_energy_malnutrition,527431,8.70E-05
1999,Road_injuries_,1195303,0.000197107
1999,Self_harm,840850,0.000138657
1999,Tuberculosis,1719130,0.000283487
2000,Acute_hepatitis,144124,2.35E-05
2000,Alcohol_use_disorders,166094,2.70E-05
2000,Alzheimer_s_disease_and_other_dementias,786615,0.00012804
2000,Cardiovascular_diseases,13957078,0.002271847
2000,Chronic_kidney_disease,814854,0.000132637
2000,Chronic_respiratory_diseases,3450006,0.000561571
2000,Cirrhosis_and_other_chronic_liver_diseases,1177628,0.000191687
2000,Conflict_and_terrorism,120011,1.95E-05
2000,Diabetes_mellitus,905965,0.000147467
2000,Diarrheal_diseases,2440570,0.000397261
2000,Digestive_diseases,2079551,0.000338496
2000,Drowning,387627,6.31E-05
2000,Drug_use_disorders,89690,1.46E-05
2000,Environmental_heat_and_cold_exposure,65450,1.07E-05
2000,Exposure_to_forces_of_nature,8918,1.45E-06
2000,Fire__heat__and_hot_substances,126659,2.06E-05
2000,HIV_AIDS,1559389,0.000253828
2000,Interpersonal_violence,450393,7.33E-05
2000,Lower_respiratory_infections,2895698,0.000471344
2000,Malaria,882055,0.000143575
2000,Maternal_disorders,287027,4.67E-05
2000,Meningitis,385994,6.28E-05
2000,Neonatal_disorders,2739290,0.000445885
2000,Neoplasms,7001927,0.00113973
2000,Nutritional_deficiencies,568454,9.25E-05
2000,Parkinson_s_disease,198545,3.23E-05
2000,Poisonings,88799,1.45E-05
2000,Protein_energy_malnutrition,505874,8.23E-05
2000,Road_injuries_,1212355,0.00019734
2000,Self_harm,839249,0.000136608
2000,Tuberculosis,1714428,0.000279064
2001,Acute_hepatitis,140143,2.25E-05
2001,Alcohol_use_disorders,170787,2.74E-05
2001,Alzheimer_s_disease_and_other_dementias,814526,0.000130897
2001,Cardiovascular_diseases,14185571,0.002279676
2001,Chronic_kidney_disease,842790,0.00013544
2001,Chronic_respiratory_diseases,3465831,0.000556972
2001,Cirrhosis_and_other_chronic_liver_diseases,1200250,0.000192885
2001,Conflict_and_terrorism,67069,1.08E-05
2001,Diabetes_mellitus,934841,0.000150233
2001,Diarrheal_diseases,2378465,0.000382228
2001,Digestive_diseases,2107791,0.00033873
2001,Drowning,375917,6.04E-05
2001,Drug_use_disorders,87325,1.40E-05
2001,Environmental_heat_and_cold_exposure,66743,1.07E-05
2001,Exposure_to_forces_of_nature,29497,4.74E-06
2001,Fire__heat__and_hot_substances,126427,2.03E-05
2001,HIV_AIDS,1662064,0.0002671
2001,Interpersonal_violence,451206,7.25E-05
2001,Lower_respiratory_infections,2830457,0.000454865
2001,Malaria,912709,0.000146676
2001,Maternal_disorders,282455,4.54E-05
2001,Meningitis,379912,6.11E-05
2001,Neonatal_disorders,2710195,0.000435539
2001,Neoplasms,7114269,0.00114329
2001,Nutritional_deficiencies,542565,8.72E-05
2001,Parkinson_s_disease,206194,3.31E-05
2001,Poisonings,89294,1.43E-05
2001,Protein_energy_malnutrition,483074,7.76E-05
2001,Road_injuries_,1224220,0.000196737
2001,Self_harm,820745,0.000131897
2001,Tuberculosis,1682360,0.000270362
2002,Acute_hepatitis,134941,2.14E-05
2002,Alcohol_use_disorders,175317,2.78E-05
2002,Alzheimer_s_disease_and_other_dementias,845695,0.0001342
2002,Cardiovascular_diseases,14501696,0.002301209
2002,Chronic_kidney_disease,874109,0.000138708
2002,Chronic_respiratory_diseases,3490310,0.000553862
2002,Cirrhosis_and_other_chronic_liver_diseases,1227607,0.000194803
2002,Conflict_and_terrorism,66414,1.05E-05
2002,Diabetes_mellitus,970544,0.000154011
2002,Diarrheal_diseases,2312641,0.000366983
2002,Digestive_diseases,2143976,0.000340218
2002,Drowning,361967,5.74E-05
2002,Drug_use_disorders,84750,1.34E-05
2002,Environmental_heat_and_cold_exposure,69939,1.11E-05
2002,Exposure_to_forces_of_nature,8908,1.41E-06
2002,Fire__heat__and_hot_substances,125532,1.99E-05
2002,HIV_AIDS,1746104,0.000277081
2002,Interpersonal_violence,462331,7.34E-05
2002,Lower_respiratory_infections,2788706,0.000442527
2002,Malaria,929195,0.00014745
2002,Maternal_disorders,276253,4.38E-05
2002,Meningitis,372298,5.91E-05
2002,Neonatal_disorders,2691320,0.000427073
2002,Neoplasms,7253993,0.001151103
2002,Nutritional_deficiencies,517754,8.22E-05
2002,Parkinson_s_disease,214930,3.41E-05
2002,Poisonings,89920,1.43E-05
2002,Protein_energy_malnutrition,462083,7.33E-05
2002,Road_injuries_,1237109,0.000196311
2002,Self_harm,811199,0.000128726
2002,Tuberculosis,1649490,0.00026175
2003,Acute_hepatitis,130158,2.04E-05
2003,Alcohol_use_disorders,178889,2.80E-05
2003,Alzheimer_s_disease_and_other_dementias,877011,0.000137437
2003,Cardiovascular_diseases,14710723,0.002305328
2003,Chronic_kidney_disease,902200,0.000141384
2003,Chronic_respiratory_diseases,3491643,0.000547178
2003,Cirrhosis_and_other_chronic_liver_diseases,1251776,0.000196167
2003,Conflict_and_terrorism,71044,1.11E-05
2003,Diabetes_mellitus,1000276,0.000156754
2003,Diarrheal_diseases,2242961,0.000351496
2003,Digestive_diseases,2173729,0.000340647
2003,Drowning,347745,5.45E-05
2003,Drug_use_disorders,82250,1.29E-05
2003,Environmental_heat_and_cold_exposure,71950,1.13E-05
2003,Exposure_to_forces_of_nature,35474,5.56E-06
2003,Fire__heat__and_hot_substances,125730,1.97E-05
2003,HIV_AIDS,1808445,0.000283403
2003,Interpersonal_violence,446701,7.00E-05
2003,Lower_respiratory_infections,2746549,0.000430414
2003,Malaria,959654,0.000150388
2003,Maternal_disorders,269425,4.22E-05
2003,Meningitis,369171,5.79E-05
2003,Neonatal_disorders,2671242,0.000418612
2003,Neoplasms,7388299,0.001157826
2003,Nutritional_deficiencies,417264,6.54E-05
2003,Parkinson_s_disease,222256,3.48E-05
2003,Poisonings,90634,1.42E-05
2003,Protein_energy_malnutrition,365742,5.73E-05
2003,Road_injuries_,1248216,0.000195609
2003,Self_harm,814533,0.000127646
2003,Tuberculosis,1612262,0.000252659
2004,Acute_hepatitis,127953,1.98E-05
2004,Alcohol_use_disorders,180491,2.79E-05
2004,Alzheimer_s_disease_and_other_dementias,909148,0.00014071
2004,Cardiovascular_diseases,14745985,0.002282251
2004,Chronic_kidney_disease,922921,0.000142841
2004,Chronic_respiratory_diseases,3462850,0.000535949
2004,Cirrhosis_and_other_chronic_liver_diseases,1266574,0.000196029
2004,Conflict_and_terrorism,70502,1.09E-05
2004,Diabetes_mellitus,1018138,0.000157578
2004,Diarrheal_diseases,2166496,0.000335311
2004,Digestive_diseases,2187927,0.000338628
2004,Drowning,338417,5.24E-05
2004,Drug_use_disorders,81843,1.27E-05
2004,Environmental_heat_and_cold_exposure,67144,1.04E-05
2004,Exposure_to_forces_of_nature,242430,3.75E-05
2004,Fire__heat__and_hot_substances,123651,1.91E-05
2004,HIV_AIDS,1842954,0.000285236
2004,Interpersonal_violence,440855,6.82E-05
2004,Lower_respiratory_infections,2697064,0.000417427
2004,Malaria,960784,0.000148701
2004,Maternal_disorders,265279,4.11E-05
2004,Meningitis,363462,5.63E-05
2004,Neonatal_disorders,2647814,0.000409805
2004,Neoplasms,7504504,0.001161479
2004,Nutritional_deficiencies,393952,6.10E-05
2004,Parkinson_s_disease,227695,3.52E-05
2004,Poisonings,91455,1.42E-05
2004,Protein_energy_malnutrition,345527,5.35E-05
2004,Road_injuries_,1258547,0.000194787
2004,Self_harm,819290,0.000126802
2004,Tuberculosis,1558519,0.000241214
2005,Acute_hepatitis,128197,1.96E-05
2005,Alcohol_use_disorders,181704,2.78E-05
2005,Alzheimer_s_disease_and_other_dementias,945619,0.000144548
2005,Cardiovascular_diseases,14995528,0.002292226
2005,Chronic_kidney_disease,956457,0.000146205
2005,Chronic_respiratory_diseases,3479174,0.000531829
2005,Cirrhosis_and_other_chronic_liver_diseases,1293978,0.000197798
2005,Conflict_and_terrorism,59507,9.10E-06
2005,Diabetes_mellitus,1050925,0.000160645
2005,Diarrheal_diseases,2125961,0.000324976
2005,Digestive_diseases,2226154,0.000340291
2005,Drowning,332705,5.09E-05
2005,Drug_use_disorders,84990,1.30E-05
2005,Environmental_heat_and_cold_exposure,68382,1.05E-05
2005,Exposure_to_forces_of_nature,88718,1.36E-05
2005,Fire__heat__and_hot_substances,124166,1.90E-05
2005,HIV_AIDS,1832074,0.000280052
2005,Interpersonal_violence,435946,6.66E-05
2005,Lower_respiratory_infections,2677818,0.000409333
2005,Malaria,940540,0.000143772
2005,Maternal_disorders,264407,4.04E-05
2005,Meningitis,361809,5.53E-05
2005,Neonatal_disorders,2620556,0.00040058
2005,Neoplasms,7653588,0.001169932
2005,Nutritional_deficiencies,376740,5.76E-05
2005,Parkinson_s_disease,236498,3.62E-05
2005,Poisonings,92064,1.41E-05
2005,Protein_energy_malnutrition,329849,5.04E-05
2005,Road_injuries_,1269243,0.000194017
2005,Self_harm,826133,0.000126283
2005,Tuberculosis,1532479,0.000234256
2006,Acute_hepatitis,124737,1.88E-05
2006,Alcohol_use_disorders,177747,2.68E-05
2006,Alzheimer_s_disease_and_other_dementias,982308,0.000148306
2006,Cardiovascular_diseases,14991661,0.002263399
2006,Chronic_kidney_disease,981743,0.000148221
2006,Chronic_respiratory_diseases,3461443,0.000522599
2006,Cirrhosis_and_other_chronic_liver_diseases,1300281,0.000196313
2006,Conflict_and_terrorism,74555,1.13E-05
2006,Diabetes_mellitus,1071057,0.000161705
2006,Diarrheal_diseases,2109339,0.000318462
2006,Digestive_diseases,2235326,0.000337483
2006,Drowning,319875,4.83E-05
2006,Drug_use_disorders,85421,1.29E-05
2006,Environmental_heat_and_cold_exposure,64630,9.76E-06
2006,Exposure_to_forces_of_nature,19918,3.01E-06
2006,Fire__heat__and_hot_substances,121265,1.83E-05
2006,HIV_AIDS,1767868,0.000266908
2006,Interpersonal_violence,427355,6.45E-05
2006,Lower_respiratory_infections,2645926,0.000399474
2006,Malaria,941746,0.000142182
2006,Maternal_disorders,259261,3.91E-05
2006,Meningitis,358973,5.42E-05
2006,Neonatal_disorders,2587061,0.000390587
2006,Neoplasms,7722732,0.001165956
2006,Nutritional_deficiencies,362476,5.47E-05
2006,Parkinson_s_disease,242749,3.66E-05
2006,Poisonings,89859,1.36E-05
2006,Protein_energy_malnutrition,316210,4.77E-05
2006,Road_injuries_,1267492,0.000191362
2006,Self_harm,814138,0.000122916
2006,Tuberculosis,1499369,0.00022637
2007,Acute_hepatitis,120512,1.80E-05
2007,Alcohol_use_disorders,174006,2.59E-05
2007,Alzheimer_s_disease_and_other_dementias,1022057,0.000152411
2007,Cardiovascular_diseases,15117363,0.002254322
2007,Chronic_kidney_disease,1010311,0.000150659
2007,Chronic_respiratory_diseases,3467408,0.000517065
2007,Cirrhosis_and_other_chronic_liver_diseases,1311974,0.000195643
2007,Conflict_and_terrorism,71286,1.06E-05
2007,Diabetes_mellitus,1092777,0.000162956
2007,Diarrheal_diseases,2076357,0.000309629
2007,Digestive_diseases,2251390,0.00033573
2007,Drowning,311889,4.65E-05
2007,Drug_use_disorders,85962,1.28E-05
2007,Environmental_heat_and_cold_exposure,59791,8.92E-06
2007,Exposure_to_forces_of_nature,16200,2.42E-06
2007,Fire__heat__and_hot_substances,119600,1.78E-05
2007,HIV_AIDS,1669306,0.000248929
2007,Interpersonal_violence,420025,6.26E-05
2007,Lower_respiratory_infections,2617221,0.000390284
2007,Malaria,940193,0.000140203
2007,Maternal_disorders,252551,3.77E-05
2007,Meningitis,352747,5.26E-05
2007,Neonatal_disorders,2549184,0.000380138
2007,Neoplasms,7850705,0.001170708
2007,Nutritional_deficiencies,347407,5.18E-05
2007,Parkinson_s_disease,250475,3.74E-05
2007,Poisonings,88475,1.32E-05
2007,Protein_energy_malnutrition,302088,4.50E-05
2007,Road_injuries_,1273318,0.000189879
2007,Self_harm,802521,0.000119673
2007,Tuberculosis,1470117,0.000219226
2008,Acute_hepatitis,117273,1.73E-05
2008,Alcohol_use_disorders,171613,2.53E-05
2008,Alzheimer_s_disease_and_other_dementias,1065297,0.000156913
2008,Cardiovascular_diseases,15402070,0.002268651
2008,Chronic_kidney_disease,1045743,0.000154033
2008,Chronic_respiratory_diseases,3510195,0.000517035
2008,Cirrhosis_and_other_chronic_liver_diseases,1330568,0.000195986
2008,Conflict_and_terrorism,64695,9.53E-06
2008,Diabetes_mellitus,1122287,0.000165307
2008,Diarrheal_diseases,2044769,0.000301185
2008,Digestive_diseases,2280070,0.000335843
2008,Drowning,304870,4.49E-05
2008,Drug_use_disorders,87077,1.28E-05
2008,Environmental_heat_and_cold_exposure,57763,8.51E-06
2008,Exposure_to_forces_of_nature,235751,3.47E-05
2008,Fire__heat__and_hot_substances,118269,1.74E-05
2008,HIV_AIDS,1559499,0.000229707
2008,Interpersonal_violence,422800,6.23E-05
2008,Lower_respiratory_infections,2603124,0.000383428
2008,Malaria,932910,0.000137413
2008,Maternal_disorders,247899,3.65E-05
2008,Meningitis,343452,5.06E-05
2008,Neonatal_disorders,2515772,0.000370561
2008,Neoplasms,8027173,0.001182364
2008,Nutritional_deficiencies,335623,4.94E-05
2008,Parkinson_s_disease,260382,3.84E-05
2008,Poisonings,88687,1.31E-05
2008,Protein_energy_malnutrition,290690,4.28E-05
2008,Road_injuries_,1284333,0.000189176
2008,Self_harm,797570,0.000117478
2008,Tuberculosis,1447516,0.000213212
2009,Acute_hepatitis,112643,1.64E-05
2009,Alcohol_use_disorders,166736,2.43E-05
2009,Alzheimer_s_disease_and_other_dementias,1109405,0.00016142
2009,Cardiovascular_diseases,15552545,0.002262923
2009,Chronic_kidney_disease,1074048,0.000156276
2009,Chronic_respiratory_diseases,3498126,0.000508984
2009,Cirrhosis_and_other_chronic_liver_diseases,1330408,0.000193577
2009,Conflict_and_terrorism,71582,1.04E-05
2009,Diabetes_mellitus,1142391,0.00016622
2009,Diarrheal_diseases,1977248,0.000287693
2009,Digestive_diseases,2279806,0.000331716
2009,Drowning,296871,4.32E-05
