document,element,frequency_in_document
AI,implemented,1
AI,guide,1
AI,newer,1
AI,gently,1
AI,clothes,1
AI,textile,1
AI,difference,1
AI,repair,1
AI,broken,1
AI,fixed,1
AI,throwing,1
AI,away,1
AI,simple,1
AI,turning,1
AI,ensure,1
AI,toilets,1
AI,showerheads,1
AI,works,1
AI,closely,1
AI,administration,1
Human,org,1
Human,activism,1
Human,earth,1
Human,day,1
Human,talks,1
Human,faculty,1
Human,screening,1
Human,locations,1
Human,better,1
Human,storage,1
Human,changes,1
Human,rooftops,1
Human,vehicle,1
Human,charging,1
Human,stations,1
Human,certifications,1
Human,constructions,1
Human,bin,1
Human,administrative,1
Human,tasks,1
Human,25live,1
Human,reaching,1
Human,out,1
Human,panelists,1
Human,multi,1
Human,year,1
Human,appoint,1
Human,treasurer,1
Human,s,1
Human,politicians,1
Human,causes,1
Human,ama,1
Human,scientists,1
Human,professors,1
Human,fashion,1
Human,picking,1
Collaborative,panels,1
Collaborative,another,1
Collaborative,form,1
Collaborative,renewable,1
Collaborative,campus,1
Collaborative,waste,1
Collaborative,sus,1
Collaborative,bins,1
Collaborative,revamp,1
Collaborative,composting,1
Collaborative,trainings,1
Collaborative,awareness,1
Collaborative,fund,1
Collaborative,projects,1
Collaborative,will,1
Collaborative,increase,1
Collaborative,sustainability,1
AI,emphasizes,1
AI,petitions,1
AI,makers,1
AI,innovators,1
AI,commuting,1
AI,corps,1
AI,audit,1
AI,dinners,1
AI,criteria,1
AI,organizers,1
AI,barrels,1
AI,irrigate,1
AI,coalition,1
AI,mobilize,1
AI,global,1
AI,strikes,1
AI,specific,1
AI,percentage,1
AI,line,1
AI,consider,1
AI,books,1
AI,household,1
AI,goods,1
AI,overall,1
AI,employees,1
AI,equipped,1
AI,contribute,1
AI,organization’s,1
AI,impacts,1
AI,offset,1
AI,offsets,1
AI,compensate,1
AI,unavoidable,1
AI,greenhouse,1
AI,gases,1
AI,elsewhere,1
AI,harness,1
AI,aimed,1
AI,markets,1
AI,demos,1
AI,cuttings,1
AI,connections,1
AI,investments,1
AI,driven,1
AI,q,1
AI,birdhouses,1
AI,bee,1
AI,hotels,1
AI,showcase,1
AI,outfits,1
AI,fast,1
AI,needs,1
AI,feasibility,1
AI,retrofit,1
AI,constructions,1
AI,best,1
